Question,Answer,
What should you do if you get separated from your tramping group?,Stay where you are and don’t wander off,Tramping Level 1
What is the buddy system used for on a tramp?,To keep everyone safe and ensure no one is alone,Tramping Level 1
What should you do with your rubbish when tramping?,Carry it out and dispose of it properly,Tramping Level 1
Why is wearing a sun hat important when outdoors?,To protect yourself from sunburn and heat,Tramping Level 1
What is the first thing you should do if it’s cold while waiting to be found?,Put on your jacket to keep warm,Tramping Level 1
How often should sunscreen be reapplied when outdoors?,Every 2 hours or after swimming or towel drying,Tramping Level 1
What kind of shoes should you wear when tramping?,"Closed-toe, sturdy shoes with good grip",Tramping Level 1
What should you always carry with you when tramping?,A drink bottle with water,Tramping Level 1
"When camping, what should you do with leftover food scraps?",Store or dispose of them properly to avoid attracting animals,Camping Level 1
What is one way to stay safe around campfires?,Keep a safe distance and never leave it unattended,Camping Level 1
What’s the purpose of a tent fly?,To keep the tent dry by deflecting rain,Camping Level 1
"When setting up a tent, why should you check the ground first?",To make sure it’s flat and free of sharp objects,Camping Level 1
What’s the first rule of lighting a campfire?,Check if fires are allowed and conditions are safe,Camping Level 1
What are the three things a fire needs to burn?,"Heat, fuel and oxygen",Camping Level 1
Where should you pitch a tent relative to the campfire?,Upwind and a safe distance away,Camping Level 2
When should you store food away from your tent?,"At all times, to avoid animals getting into it",Camping Level 2
Why is it important to tie up long hair near flames?,To prevent it from catching fire,Camping Level 2
What’s the best way to put out a fire?,Pour water on it until cold and stir the ashes,Camping Level 2
How do you test if a campfire is fully out?,Touch the ashes carefully to make sure they are cold,Camping Level 2
What should you check before using a gas cooker?,That all connections are tight and there are no leaks,Camping Level 2
What should you do before a tramp to prepare?,Check the weather forecast and pack appropriate gear,Tramping Level 2
What’s the best way to prevent blisters on a tramp?,Wear properly fitting shoes and dry socks,Tramping Level 2
How can you tell which direction the wind is coming from?,By feeling it on your face or looking at moving objects,Tramping Level 2
What’s one way to find north without a compass?,Use the sun’s position or stars at night,Tramping Level 2
If you see lightning while outdoors what should you do?,Move away from tall objects and crouch low,Emergency Skills Level 1
What does CPR stand for?,Cardiopulmonary resuscitation,Emergency Skills Level 2
What number should you dial for emergencies in New Zealand?,111,Emergency Skills Level 1
Why should you never cross a river alone?,It’s dangerous and you may be swept away,Tramping Level 2
What is the safest place to cross a shallow river?,"At a wide, calm, shallow section",Tramping Level 2
What are two signs of dehydration?,Thirst and dark urine,Water Safety Level 1
When swimming what should you do if you get a cramp?,Float on your back and stretch the muscle,Water Safety Level 1
What’s the best way to help someone who is struggling in water?,Reach or throw – don’t go,Water Safety Level 1
Why should you never dive into unknown water?,You might hit the bottom or hidden objects,Water Safety Level 1
What does “Leave No Trace” mean?,To leave the environment as you found it,All Skills Level 1
What should you do before lighting a fire in the outdoors?,Check local fire restrictions and have water nearby,Camping Level 2
What is kaitiakitanga?,Caring for and protecting the environment,All Skills Level 2
What’s the most important safety item when paddling?,A life jacket (PFD),Paddling Level 1
Why is it important to know the weather forecast before boating?,To avoid dangerous conditions,Boating Level 1
What’s the rule for wearing a PFD in a boat?,Everyone must wear one at all times,Boating Level 1
What should you do if your boat capsizes?,Stay with the boat and signal for help,Boating Level 1
How do you check if a bike is safe to ride?,"Test brakes, tyres and chain befpre riding",Biking Level 1
What’s the correct hand signal for turning right on a bike?,Right arm straight out,Biking Level 1
Why should you always wear a helmet when biking?,To protect your head in a fall,Biking Level 1
What should you do before crossing a road while biking?,Stop look and listen for traffic,Biking Level 1
What is the safest way to warm up before physical activity?,Do stretches and light movement,All Skills Level 1
What should you do if your tramping group encounters an injured person?,"Stay calm, give first aid and get help",Emergency Skills Level 2
What’s one way to reduce your impact when camping?,Use established campsites and avoid damaging vegetation,Camping Level 2
What is the buddy system in water activities?,Swimming in pairs for safety,Water Safety Level 2
What is a whitecap a sign of?,Windy or rough water conditions,Water Safety Level 2
What should you do if someone gets hypothermia?,Keep them warm and call for help,Emergency Skills Level 3
Why should you tell someone where you’re going before a tramp?,So rescuers know where to look if something goes wrong,Tramping Level 2
What should you do if you get caught in a rip current?,Stay calm and swim parallel to the shore,Water Safety Level 3
When camping why should you store gear neatly?,To keep the campsite safe and organised,Camping Level 1
What should you never burn in a campfire?,Plastics or rubbish,Camping Level 1
Why is teamwork important on a tramp?,It helps keep everyone safe and supported,Tramping Level 3
What’s one way to be a good team member outdoors?,"Listen, help others, and share the workload",All Skills Level 3
Why is hydration important during activities?,To prevent dehydration and heat exhaustion,All Skills Level 1
When should you stop an activity for safety?,"When weather, health, or gear becomes unsafe",All Skills Level 3
Why is it important to plan a route before tramping?,To know where you’re going and stay safe,Tramping Level 3
What should you do with leftover fuel or gas canisters?,Store or dispose of them properly,Camping Level 3
Why should you not feed wild animals while camping?,It makes them dependent and can be dangerous,Camping Level 3
What’s a safe way to cross a small stream?,Link arms with others and move slowly,Tramping Level 3
What does a “risk assessment” help you do?,Identify and reduce potential dangers,All Skills Level 3
Why should you check the weather again before leaving camp?,Conditions can change quickly,Tramping Level 2
What’s the purpose of waterproof bags?,To keep gear dry in rain or water,Camping Level 2
Why should you keep your tent zipped?,To keep insects and rain out,Camping Level 1
What’s one way to help protect the environment while biking?,Stick to designated tracks,Biking Level 2
What does “stay within your limits” mean?,Only do activities you’re trained and prepared for,All Skills Level 2
Why should you always check your equipment before an activity?,To make sure it’s safe and working,All Skills Level 1
What should you do before abseiling?,"Check your harness, helmet, and rope",Vertical Level 1
What’s the command you say before starting to climb?,“On belay?”,Vertical Level 1
What’s the correct response to “On belay?” in climbing?,“Belay on!”,Vertical Level 1
Why should you always use a spotter when bouldering?,To help prevent injury if you fall,Vertical Level 2
Why is checking knots important before climbing?,It ensures your safety,Vertical Level 2
What does “three points of contact” mean in climbing?,Always have 3 limbs on the surface,Vertical Level 2
What’s the best way to signal in an emergency?,"Use loud noises, waving or bright colours",Emergency Skills Level 3
