Question,Answer,Audio,Badge
What is the aproximate distance between Scott base and McMurdo Station?,3km,,
How many people live at Scott Base in Summer?,120,,
How many people live at Mcmurdo Station in Summer,Over 1000,,
"Antactica is the coldest, driest and _______ place in the world?",Windiest,,
Name the tallest mountain in Antarctica,Mount Eribus,,
Approximately how much of the antarctic continent is not covered in Ice and Snow?,2%,,
Name a vehicle that is commonly used to travel around in Antarctica,"Skidoo, Snowcat, Helicopter, Hägglund, Airplane",,
What stays in the sky all day over the summer months?,The Sun,,
"If it is 9am in Wellington, New Zealand, what is the time in Scott Base, Antarctica?",9:00 AM,,
What colour is the New Zealand Antarctic Expidition jackets?,Orange and Black,,
Which country operates Scott Base?,New Zealand,,
Which country operates McMurdo Station?,The United States,,
What is the name of the treaty that protects Antarctica from military use and mining?,The Antarctic Treaty,,
What do scientists mainly study in Antarctica?,"Climate, ice cores, wildlife, or the environment",,
Name one land animal that lives in Antarctica.,"Penguin, Seal, Skua, Human",,
Which ocean surrounds Antarctica?,Southern Ocean,,
What do you call the icy floating edges that surround the continent?,Ice shelves,,
Name the largest species of penguin in the world.,Emperor Penguin,,
What do people call the special snow vehicles that have tracks instead of wheels?,Hägglunds or Snowcats,,
Which country owns Antarctica,None,,
Name the closest country to Antarctica.,Chile,,
What is the name of the main ice shelf near Scott Base?,Ross Ice Shelf,,
From which New Zealand city do most Antarctic flights depart?,Christchurch,,
Name a type of model of Aircraft that lands on the Ice Runway in Antarctica,"Hercules LC-130, Boeing C-17",,
What year did New Zealand establish Scott Base?,1957,,
What season is it in Antarctica when it’s summer in New Zealand?,Summer,,
What is the biggest threat to Antarctica’s wildlife?,Climate change,,
What month does the sun disappear completely for winter?,May,,
What covers 98% of Antarctica?,Ice,,
What continent is the South Pole on?,Antarctica,,
What is the opposite of Antarctica?,The Arctic,,
What colour is most of Antarctica?,White,,
What do seals mostly eat?,Fish,,
What do penguins eat?,Fish or krill,,
What happens to the sea water around Antarctica in winter?,It freezes,,
What direction would you travel from New Zealand to reach Antarctica?,South,,
What kind of bird cannot fly but lives in Antarctica?,Penguin,,
What island is Scott Base on?,Ross Island,,
What is the name of the volcano near Scott Base?,Mount Erebus,,
What direction is the South Pole from Scott Base?,South,,
What is the name of the American station closest to Scott Base?,McMurdo Station,,
What do penguins use to keep warm?,"Their feathers , Blubber (Fat)",,
What do seals use to keep warm?,Blubber (Fat),,
What do scientists sleep in when they camp out on the ice?,Tents,,
What do scientists wear on their feet in Antarctica?,Boots,,
What is the name of the frozen desert at the bottom of the world?,Antarctica,,
What does the word 'Antarctica' mean?,Opposite to the Arctic,,
What kind of animals live in the water around Antarctica?,"Fish, Whales, Seals, Penguins",,
What did antarctic explorers burn in their fireplaces 100 years ago?,Blubber (Fat),,
What is the name of the geographical point at the bottom of the Earth?,The South Pole,,
What is the main reason people go to Antarctica?,Scientific research,,
What happens to your breath in the freezing air of Antarctica?,It turns into ice crystals or mist,,
What natural phenomenon can you see in the Antarctic night sky?,The Southern Lights or Aurora Australis,,
What do penguins use their wings for?,Swimming,,
What do scientists use to drill deep into the ice?,Ice cores or drills,,
What kind of whales are often seen near Antarctica?,"Blue whales, orcas, humpback whales",,
What do people call the time of year when the sun never sets?,Midnight Sun,,
What do people call the time of year when the sun never rises?,Polar Night,,
What kind of energy do Antarctic bases and stations use to reduce pollution?,Wind or solar power,,
What do scientists call the thick layer of frozen ground under the ice?,Permafrost,,
