Question,Answer,Audio,Badge
What is the name of the girl group that secretly hunts demons?,Huntr/x,,k-pop_logo.png
Name the three girls in Huntrix?,"Rumi, Mira, and Zoey",,k-pop_logo.png
What city do the girls live in?,"Seoul, South Korea",,k-pop_logo.png
What special barrier do they protect with their songs?,The Honmoon,,k-pop_logo.png
What is the name of the rival boy band who are actually demons?,The Saja Boys,,k-pop_logo.png
What song introduces Huntr/x at the start of the film?,How It’s Done,,k-pop_logo.png
Which Huntr/x song became number one worldwide?,Golden,,k-pop_logo.png
Who is the demon king leading the Saja Boys?,Gwi-Ma,,k-pop_logo.png
Who helps and trains the girls to be deamon hunters?,Celine,,k-pop_logo.png
What secret does Rumi keep from her friends?,She is part-demon,,k-pop_logo.png
What does the rival boy band pretend to be?,Idols/singers,,k-pop_logo.png
What colour glows around the girls when they use their powers?,Blue,,k-pop_logo.png
What kind of monsters do the girls battle?,Demons,,k-pop_logo.png
What happens if the Honmoon barrier breaks?,The demons can take over the city,,k-pop_logo.png
Which girl from Huntrix has purple hair?,Rumi,,k-pop_logo.png
What is the name of this song?,How It's Done,How_It's_Done(Clip).mp3,k-pop_logo.png
What is the name of this song?,Soda Pop,Soda_Pop(Clip).mp3,k-pop_logo.png
What are the missing lyrics?,I was the queen that I'm meant to be,Golden(Edited_Clip).mp3,k-pop_logo.png
What is the name of this song?,Your Idol,Your_Idol(Clip).mp3,k-pop_logo.png
Who is singing this clip?,Rumi,What_It_Sounds_Like(Clip).mp3,k-pop_logo.png
Who is the good demon in the boy band?,Jinu,,k-pop_logo.png
