Question,Answer,Audio,Badge
Who founded Facebook?,Mark Zuckerberg,,
Which phone brand made the popular Razr flip phone?,Motorola,,
Which company created the iPod?,Apple,,
Which Apple device used a click wheel for navigation?,iPod,,
What was the very first video ever uploaded to YouTube?,Me at the Zoo,,
"Before Google dominated, which search engine was most widely used?",Yahoo,,
"Before WhatsApp, what chat service did millennials use on their computers?",MSN Messenger,,
Which handheld console made by Nintendo was released in 1989?,Game Boy,,
Which Pokémon is number 25 in the Pokédex?,Pikachu,,
Ross and Rachel were part of which iconic sitcom?,Friends,,
Which sitcom’s favourite hangout was Central Perk?,Friends,,
Barney Stinson was a character on which show?,How I Met Your Mother,,
Which TV show followed employees at Dunder Mifflin?,The Office,,
Buffy Summers was the lead in which TV show?,Buffy the Vampire Slayer,,
Tommy and Chuckie were characters in which cartoon?,Rugrats,,
Arnold and Helga starred in which cartoon?,Hey Arnold,,
Dexter and Dee Dee lived above which cartoon lab?,Dexter’s Lab,,
"Blossom, Bubbles and Buttercup are better known as?",Powerpuff Girls,,
Goku is the hero of which anime?,Dragon Ball,,
Ash Ketchum belongs to which anime world?,Pokémon,,
Which furry electronic toy talked back to kids?,Furby,,
Which bean-filled plush toys became a craze?,Beanie Babies,,
Which digital pet lived inside a keychain?,Tamagotchi,,
Which tiny doll line lived in pocket-sized cases?,Polly Pocket,,
Which dolls competed with Barbie in the 2000s?,Bratz,,
Which console came with a controller shaped with three prongs?,N64,,
Which Nintendo console used mini-discs smaller than DVDs?,GameCube,,
Which console launched Halo as its flagship game?,Xbox,,
Final Fantasy VII was first released on which console?,PS1,,
Crash Bandicoot was the mascot for which console?,PS1,,
Which handheld console had two screens stacked vertically?,DS,,
Which handheld console was home to Pokémon Red?,Game Boy,,
Which Harry Potter house is symbolised by a lion?,Gryffindor,,
Which spell in Harry Potter levitates objects?,Wingardium Leviosa,,
Which vampire series featured Edward Cullen?,Twilight,,
Who was the main female character in Twilight?,Bella Swan,,
Who volunteered as tribute in The Hunger Games?,Katniss Everdeen,,
Who was the President in The Hunger Games?,President Snow,,
Jack and Rose met aboard which doomed ship?,Titanic,,
Neo is the hero of which sci-fi trilogy?,The Matrix,,
Frodo carried the One Ring in which film series?,Lord of the Rings,,
Legolas the elf appeared in which fantasy series?,Lord of the Rings,,
Aragorn was king in which film series?,Lord of the Rings,,
Hermione Granger is a character from which franchise?,Harry Potter,,
Which pop star sang Baby One More Time?,Britney Spears,,
Which pop star sang Genie in a Bottle?,Christina Aguilera,,
Which boy band sang Bye Bye Bye?,NSYNC,,
Which boy band sang I Want It That Way?,Backstreet Boys,,
Which rapper sang In Da Club?,50 Cent,,
Which rapper sang Lose Yourself?,Eminem,,
Which rapper sang Hot in Here?,Nelly,,
Raven Baxter starred in which Disney Channel show?,That’s So Raven,,
Who lives in a pineapple under the sea?,SpongeBob Squarepants,,
