Question,Answer,File
Who sang this song?,Queen,Bohemian_Rhapsody(Intro).mp3
What movie was this song featured in?,Titanic,My_Heart_Will_Go_On(Intro).mp3
Finish the lyric:,lonely world,Dont_Stop_Believing(Clip).mp3
What year was this song released?,1982,Billie_Jean(Clip).mp3
Who is the lead singer of this band?,Kurt Cobain,Smells_Like_Teen_Spirit(Clip).mp3
What’s the title of this song backwards playing song?,Stayin’ Alive,Stayin_Alive(Reverse_Clip).mp3
Name the artist.,Adele,Rolling_In_The_Deep(Intro).mp3
This was the first big hit for which singer?,Britney Spears,Baby_One_More_Time(Clip).mp3
Which movie soundtrack is this from?,Rocky III,Eye_Of_The_Tiger(Intro).mp3
Who sang this duet?,Lady Gaga & Bradley Cooper,Shallow.mp3
Name the band playing live.,Eagles,Hotel_California_Live(Intro).mp3
"What is the next line? ""Is this the real life…""",Is this just fantasy?,Bohemian_Rhapsody(Short_Clip).mp3
Who originally wrote this song?,Dolly Parton,I_Will_Always_Love_You(Clip).mp3
Which 1980s band performed this song?,a-ha,Take_On_Me(Clip).mp3
Name the movie this song was written for.,Frozen,Let_It_Go(Intro).mp3
Which singer performed this at the Super Bowl halftime show?,Bruno Mars,Uptown_Funk(Intro).mp3
What country is this artist from?,Australia,Somebody_That_I_Used_To_Know(Clip).mp3
